CAZy Family,Glycoside Hydrolases,,,,,,,,GlycosylTransferases,,,,,,,,,Polysaccharide lyases,Carbohydrate Esterases,,,,,,,Auxilary Activities,,,,,,,,,Carbohydrate Binding Molecules,,,,,,,,,,,,
Retrieved incomplete EC number,1.14.99.-,2.4.1.-,2.4.2.-,2.4.99.-,3.1.1.-,3.2.1.-,4.2.2.n1,5.4.99.-,2.-.-.-,2.4.-.-,2.4.1.-,2.4.2.-,2.4.99.-,3.1.-.-,3.2.1.-,3.5.1.-,5.4.99.-,4.2.2.-,2.3.1.-,2.4.1.-,3.-.-.-,3.1.1.-,3.2.1.-,3.5.1.-,4.2.2.-,1.-.-.-,1.1.3.-,1.1.99.18,1.2.3.15,1.6.5.6,1.10.3.-,1.11.1.-,1.14.99.-,3.2.1.78,1.-.-.-,1.1.3.9,1.1.99.18,1.14.99.53,2.4.1.-,2.4.2.-,3.1.1.-,3.1.3.16,3.2.1.-,3.5.1.-,4.2.2.-,4.2.2.n1,
,,,,,,161,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,162,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,164,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,165,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,166,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,167,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,169,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,170,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,171,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,172,,,,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,173,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,174,,,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
